"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","31-MAR-25","28-MAR-25","12:30:00Z","JONESBORO","ARKANSAS","UNITED STATES","N41687, AT-802A, 9AR9-9AR9, STRUCK AN EXCAVATOR WITH LANDING GEAR DURING AERIAL APPLICATION AND CRASHED IN A FIELD 21 W OF
JBR (APPROXIMATELY 5 W OF CASH, AR). POB: 1, INJURIES: NONE, DAMAGE: EXTENT UNKNOWN. 03/28/2025 1230Z","ACCIDENT","LITTLE ROCK FSDO","N41687","","UNK","AIR TRACTOR","AT-802A","No","SUBSTANTIAL","AERIAL APPLICATION","MANEUVERING (MNV)","137","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","31-MAR-25","28-MAR-25","12:49:00Z","BENNETTSVILLE","SOUTH CAROLINA","UNITED STATES","N8EV, RV8, CPK-CDN, REPORTED AN ENGINE MALFUNCTION AND REQUESTED TO DIVERT TO BBP. AIRCRAFT CRASH LANDED IN A FIELD JUST OFF THE DEPARTURE END OF RUNWAY 7 AT BBP. POB: 1, INJURIES: NONE, DAMAGE: EXTENT UNKNOWN. 03/28/2025 1245Z","INCIDENT","COLUMBIA FSDO","N8EV","","","VANS","RV8","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","31-MAR-25","30-MAR-25","21:19:00Z","ESCONDIDO","CALIFORNIA","UNITED STATES","N18PD, 280FX, PILOT REPORTED PARTIAL THEN COMPLETE ENGINE FAILURE (NO WARNING LIGHTS) AND MADE AN EMERGENCY LANDING AT
THE INTERSECTION OF N CENTRE CITY PARKWAY & JESMOND DENE ROAD. THE PILOT STATED THERE WAS A LARGE OIL PUDDLE UNDER THE HELICOPTER ON THE ROAD. THE SHERIFF DEPARTMENT ON SCENE REPORTED NO AIRCRAFT DAMAGE AND NO INJURIES. POB: 203/30/2025 2119Z","INCIDENT","SAN DIEGO FSDO","N18PD","","","ENSTROM","280FX","No","NONE","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","31-MAR-25","29-MAR-25","19:04:00Z","OLATHE","KANSAS","UNITED STATES","OLATHE, KS (IXD): N40PV, LJ45, AFTER LANDING RWY 18 AIRCRAFT STRUCK A FOD, RESULTING IN DAMAGE TO LANDING LIGHT. ARPT OPS CONDUCTED A FOD CHECK AND RECOVERED A FUEL CAP. POB: 8, INJURIES: NONE, DAMAGE: EXTENT UNKNOWN. 03/29/2025 1904Z","INCIDENT","KANSAS CITY FSDO","N40PV","","UNK","LEARJET","LJ45","No","UNKNOWN","UNKNOWN","LANDING (LDG)","","NONE","No","2","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0"
"No","31-MAR-25","30-MAR-25","22:09:00Z","HOUSTON","TEXAS","UNITED STATES","HOUSTON, TX (SGR): N95UX, LC41, ACFT VEERED OFF RWY 17 NEAR TAXIWAY A5 AFTER LANDING DUE TO A BRAKE FAILURE, RESULTING IN DAMAGE TO AN ARPT FENCE AND FRONT END OF ACFT. POB: 1, INJURIES: NONE, DAMAGE: EXTENT UNKNOWN. 03/30/2025 2209Z","INCIDENT","HOUSTON FSDO","N95UX","","","COLUMBIA","LC41","No","UNKNOWN","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","31-MAR-25","30-MAR-25","18:17:00Z","PRINCETON","NEW JERSEY","UNITED STATES","PRELIM INFO FROM FAA OPS: PRINCETON-ROCKY HILL, NJ/POSSIBLE MEDIAGENERAL AVIATION FATAL ACCIDENT/LATE REPORT-1035E/1 FATAL WHEN IFR N319TM, CIRRUS SR22, PRINCETON-ROCKY HILL, NJ (39N) - RALEIGH-DURHAM, NC (RDU), CRASHED UNDER UNKN CIRCUMSTANCES INTO HEAVILY WOODED AREA 5 NW 39N. POB: 1. ATC SVCS PROVIDED BY PHILADELPHIA ATCT-TRACON. DAMAGE: DESTROYED. ACFT SUBJECT OF ALNOT. WX: NOT REPORTED","ACCIDENT","PHILADELPHIA FSDO","N319TM","","","CIRRUS","SR22","No","DESTROYED","PERSONAL","EN ROUTE (ENR)","91","FATAL","Yes","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","31-MAR-25","29-MAR-25","17:16:00Z","MINNEAPOLIS","MINNESOTA","UNITED STATES","PRELIM INFO FROM FAA OPS: MINNEAPOLIS, MN/MEDIA ATTENTION-GENERAL AVIATION (PRESUMED) FATAL ACCIDENT/1216C/WHEN IFR N721MB, SOCATA TMB7, DES MOINES, IA (DSM) - MINNEAPOLIS, MN (ANE), CRASHED UNDER UNKN CIRCUMSTANCES 6 W ANE INTO A RESIDENTIAL AREA WHILE ON APPROACH TO RUNWAY 9. POB: UNKN. INJURIES: UNKN. ATC SVCS PROVIDED BY ANOKA FCT. ACFT WAS SUBJECT OF AN ALNOT. ACFT DAMAGE: POST CRASH FIRE. GROUND DAMAGE: 3 HOUSES DAMAGED BY FIRE. NO GROUND INJURIES. WX: UNKN.","ACCIDENT","Minneapolis FSDO","N721MB","","","SOCATA","TBM700","No","DESTROYED","PERSONAL","APPROACH (APR)","91","FATAL","Yes","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","31-MAR-25","28-MAR-25","22:05:00Z","CHULUOTA","FLORIDA","UNITED STATES","N8318A, ROTORWAY, EXPERIMENTAL HELICOPTER, CRASHED FOR UNKNOWN REASONS WHILE PRACTICING HOVERING MANEUVERS IN A PRIVATE FIELD LOCATED AT 1236 GALLANT FOX WAY. POB: 1, INJURIES: 1 MINOR, DAMAGE: SUBSTANTIAL.","ACCIDENT","ORLANDO FL","N8318A","","","ROTORWAY","162F","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","31-MAR-25","29-MAR-25","18:05:00Z","BOZEMAN","MONTANA","UNITED STATES","PRELIM INFO FROM FAA OPS: BOZEMAN, MT/BIRD STRIKE/1405M/SKY WEST 3704, E75L, LAX - BZN, CONTINUED AND LANDED BZN AFTER REPORTING BIRD STRIKE ON SHORT FINAL RUNWAY 12. DAMAGE: LEFT WING FLAP ENCOUNTERED UNSPECIFIED DAMAGE. DAMAGE EXTENT: UNKN. POB: UNKN. NO INJURIES. WOC 202-267-3333 MO/SW","INCIDENT","HELENA FSDO","N247SY","3704","SKYWEST","EMBRAER","ERJ170","No","UNKNOWN","COMMERCIAL","LANDING (LDG)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","31-MAR-25","28-MAR-25","17:00:00Z","TAMPA","FLORIDA","UNITED STATES","PRELIM INFO FROM FAA OPS: TAMPA, FL/BIRD STRIKE/1300E/JETBLUE 891, A320, BOS - TPA, CONTINUED TO TPA AND LANDED WITHOUT FURTHER INCIDENT AFTER REPORTING A BIRD STRIKE ON FINAL RUNWAY 19L. NO INJURIES REPORTED. POSTFLIGHT INSPECTION REVEALED A DENT ON THE RIGHT WING OF ACFT. DAMAGE EXTENT UNKN.","INCIDENT","TAMPA FSDO","N509JB","891","JET BLUE","AIRBUS","A320","No","UNKNOWN","COMMERCIAL","LANDING (LDG)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","31-MAR-25","28-MAR-25","23:15:00Z","NAPA","CALIFORNIA","UNITED STATES","NAPA, CA (APC): N641PS, BE76, GEAR UP LANDING RWY 24. POB: 2, INJURIES: NONE, DAMAGE: EXTENT UNKNOWN. 03/28/2025 2315Z","INCIDENT","SACRAMENTO FSDO","N641PS","","","BEECH","BE76","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","31-MAR-25","29-MAR-25","16:30:00Z","MANLEY HOT SPRINGS","ALASKA","UNITED STATES","MANLEY HOT SPRINGS, AK: N733KV, C172, CRASHED UNDER UNKNOWN CIRCUMSTANCES DURING STUDENT SOLO FLIGHT. THE AIRCRAFT ENDED UP INVERTED. POB: 1, INJURIES: NONE, DAMAGE: EXTENT UNKNOWN. 03/29/2025 1630Z
","INCIDENT","FAIRBANKS FSDO","N733KV","","","CESSNA","172","No","UNKNOWN","INSTRUCTION","UNKNOWN (UNK)","","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","31-MAR-25","28-MAR-25","17:15:00Z","TOMS RIVER","NEW JERSEY","UNITED STATES","TOMS RIVER, NJ (MJX): N1724U, C172, STRUCK PROPELLER ON THE RUNWAY WHILE LANDING FOR UNKNOWN REASONS. AIRCRAFT TAXIED TO THE RAMP. POB: 1, INJURIES: NONE, DAMAGE: EXTENT UNKNOWN. 03/28/2025 1715Z","INCIDENT","Philadelphia FSDO","N1724U","","","CESSNA","172","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","31-MAR-25","28-MAR-25","17:30:00Z","CALDWELL","NEW JERSEY","UNITED STATES","CALDWELL, NJ (CDW): N1804R, BE77, VEERED TO THE RIGHT SIDE OF RUNWAY 22 INTO THE GRASS AFTER LANDING FOR UNKNOWN REASONS STRIKING TWO RUNWAY LIGHTS CAUSING DAMAGE TO THE RIGHT MAIN STRUT. AIRCRAFT ENTERED TAXIWAY D AND TAXIED TO THE RAMP. POB: 2, INJURIES: NONE, DAMAGE: EXTENT UNKNOWN.","INCIDENT","PHILADELPHIA PSDO","N1804R","","","BEECH","BE77","No","UNKNOWN","PERSONAL","LANDING (LDG)","","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","31-MAR-25","28-MAR-25","14:50:00Z","FAIRHOPE","ALABAMA","UNITED STATES","FAIRHOPE, AL (CQF): N3796K, GC-1B, LANDED RUNWAY 19 AND EXPERIENCED A PROPELLER STRIKE. AIRCRAFT WAS PUSHED OFF THE RUNWAY ONTO THE TAXIWAY. POB: UNKNOWN, INJURIES: NONE, DAMAGE: EXTENT UNKNOWN.","INCIDENT","ALABAMA & NW FLORIDA FSDO","N3796K","","","GLOBE","GC1B","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-APR-25","31-MAR-25","17:05:00Z","MOBERLY","MISSOURI","UNITED STATES","AIRCRAFT MADE A PRECAUTIONARY LANDING DUE TO A WARNING LIGHT.","INCIDENT","ST LOUIS FSDO","N494AE","","","BELL","407","No","NONE","AMBULANCE","LANDING (LDG)","135","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","01-APR-25","31-MAR-25","18:06:00Z","COLORADO SPRINGS","COLORADO","UNITED STATES","CREW DECLARED AN EMERGENCY AIRBORNE DUE TO ENGINE ISSUES. AFTER LANDING, THE AIRCRAFT TAXIED OFF THE RUNWAY THEN THE ENGINE CAUGHT ON FIRE.","INCIDENT","DENVER FSDO","N910FC","","","GULFSTREAM","690C","No","UNKNOWN","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yes","02-APR-25","25-MAR-25","12:50:00Z","RUSTON","LOUISIANA","UNITED STATES","RUSTON, LA (RSN): N6006K, HILLER UH-12E, LATE ENTRY: WHILE CONDUCTING AERIAL SPRAYING, ACFT RAN OUT OF FUEL, DID AN AUTO-ROTATION AND CRASHED IN A FIELD NEAR RUSTON, LA . THE TAIL BOOM WAS SEVERED IN THE CRASH. POB: 1, INJURIES: NONE, DAMAGE: SUBSTANTIAL.","ACCIDENT","BATON ROUGE FSDO","N6006K","","","HILLER","UH12E","No","SUBSTANTIAL","AERIAL APPLICATION","MANEUVERING (MNV)","137","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
