"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","17-MAR-26","15-MAR-26","15:00:00Z","COTTONWOOD","ARIZONA","UNITED STATES","AIRCRAFT PORPOISED ON LANDING AND POST FLIGHT INSPECTION REVEALED DAMAGE TO THE FUSELAGE, COTTONWOOD, AZ.","ACCIDENT","SCOTTSDALE FSDO","N178DR","","","CESSNA","177","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","17-MAR-26","16-MAR-26","21:00:00Z","PORTLAND","OREGON","UNITED STATES","AIRCRAFT LANDED AND WHILE TAXIING TO EXIT RUNWAY, THE NOSE GEAR COLLAPSED, PORTLAND, OR.","INCIDENT","PORTLAND FSDO","N212LG","","","LANCAIR","LEGACY","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","17-MAR-26","16-MAR-26","19:53:00Z","VACAVILLE","CALIFORNIA","UNITED STATES","AIRCRAFT LANDED GEAR UP, VACAVILLE, CA.","INCIDENT","SACRAMENTO FSDO","N666RJ","","","CESSNA","177RG","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","17-MAR-26","17-MAR-26","02:15:00Z","EUGENE","OREGON","UNITED STATES","AIRCRAFT LANDED GEAR UP, EUGENE, OR.","INCIDENT","PORTLAND FSDO","N4741S","","","CESSNA","TR182","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","17-MAR-26","16-MAR-26","23:30:00Z","TRENTON","NEW JERSEY","UNITED STATES","AIRCRAFT STRUCK THE LEFT WING TIP ON THE RUNWAY DUE TO CROSS WINDS, TRENTON, NJ.","INCIDENT","PHILADELPHIA FSDO","N719AV","SGX719","SLATE GLOBAL","CANADAIR","CL-600-2B19","No","UNKNOWN","ON DEMAND","LANDING (LDG)","135","NONE","No","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","27-MAR-26","26-MAR-26","23:13:00Z","LIHUE","HAWAII","UNITED STATES","AIRCRAFT CRASHED OFF THE COAST UNDER UNKNOWN CIRCUMSTANCES, LIHUE, HI.","ACCIDENT","HONOLULU FSDO","N715KV","","","HUGHES","369","No","SUBSTANTIAL","SIGHT SEEING","EN ROUTE (ENR)","135","FATAL","Yes","0","0","0","0","1","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0"
"No","27-MAR-26","27-MAR-26","02:01:00Z","NEW SMYRNA BEACH","FLORIDA","UNITED STATES","AIRCRAFT STRUCK A BIRD AND POST FLIGHT INSPECTION REVEALED A DENT ON THE LEFT WING, NEW SMYRNA BEACH, FL.","INCIDENT","ORLANDO FSDO","N254EP","EPI254","EPIC FLIGHT ACADEMY","TEXTRON","172","No","UNKNOWN","FAR 141 PILOT SCHOOL","APPROACH (APR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","27-MAR-26","26-MAR-26","14:45:00Z","MILLVILLE","NEW JERSEY","UNITED STATES","AIRCRAFT BOUNCED ON LANDING AND INCURRED A PROP STRIKE, MILLVILLE, NJ.","INCIDENT","PHILADELPHIA FSDO","N817FG","","","TEXTRON","172","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","27-MAR-26","26-MAR-26","16:20:00Z","HOUSTON","TEXAS","UNITED STATES","AIRCRAFT ABORTED TAKEOFF DUE TO PROPELLER SPINNER FALLING OFF, HOUSTON, TX.","INCIDENT","HOUSTON FSDO","N1137P","","","PIPISTREL","SINUS 912","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","27-MAR-26","26-MAR-26","21:05:00Z","CAMARILLO","CALIFORNIA","UNITED STATES","AIRCRAFT WAS TAXIING OUT AND STRUCK TWO HANGARS, CAMARILLO, CA.","ACCIDENT","VAN NUYS FSDO","N787HP","","","PIPER","PA46","No","SUBSTANTIAL","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","27-MAR-26","26-MAR-26","12:20:00Z","ATLANTA","TEXAS","UNITED STATES","AIRCRAFT WENT OFF THE END OF THE RUNWAY AND THROUGH A FENCE ON TAKEOFF, ATLANTA, TX.","ACCIDENT","NORTH TEXAS FSDO","N1653J","","","PIPER","PA28","No","SUBSTANTIAL","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","26-MAR-26","26-MAR-26","20:44:00Z","VAN NUYS","CALIFORNIA","UNITED STATES","AIRCRAFT LEFT WING STRUCK BLAST FENCE, VAN NUYS, CA.","ACCIDENT","VAN NUYS FSDO","N24932","","","CESSNA","152","No","SUBSTANTIAL","PERSONAL","UNKNOWN (UNK)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","20-MAR-26","19-MAR-26","18:12:00Z","MIAMI","FLORIDA","UNITED STATES","AIRCRAFT LOST THE ENGINE COWLING AND RETURNED TO MIA, MIAMI, FL.","INCIDENT","SOUTH FLORIDA FSDO","N725UW","AAL1181","AMERICAN AIRLINES","AIRBUS","A319","No","UNKNOWN","COMMERCIAL","EN ROUTE (ENR)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","20-MAR-26","20-MAR-26","00:35:00Z","TRACY","CALIFORNIA","UNITED STATES","AIRCRAFT LANDED GEAR UP, TRACY, CA.","INCIDENT","OAKLAND FSDO","N3851T","","","PIPER","PA28R","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","20-MAR-26","19-MAR-26","23:34:00Z","CARSON CITY","NEVADA","UNITED STATES","AIRCRAFT MADE AN EMERGENCY LANDING AT THE NORTHERN NEVADA CORRECTIONAL CENTER, CARSON CITY, NV.","INCIDENT","RENO FSDO","N288SL","","","AIRPLANE FACTORY","SLING","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
